ProductId,avg_rating,review_count,weighted_score
B001EO5Q64,4.846153846153846,104,4.741554135971467
B001CWX7EG,4.789115646258503,147,4.718279717727317
B001CWV4RS,4.789115646258503,147,4.718279717727317
B001CWSKFC,4.789115646258503,147,4.718279717727317
B000EVG8HY,4.789115646258503,147,4.718279717727317
B000EVIDWW,4.789115646258503,147,4.718279717727317
B000EVG8FQ,4.789115646258503,147,4.718279717727317
B0030VBQ5Y,4.7844827586206895,116,4.698181712209279
B0030VBPN2,4.7844827586206895,116,4.698181712209279
B0030VJ70K,4.7844827586206895,116,4.698181712209279
B0030VJ79Q,4.7844827586206895,116,4.698181712209279
B000255OIG,4.7514450867052025,173,4.6940555070490255
B001B4VOQI,4.7514450867052025,173,4.6940555070490255
7310172101,4.7514450867052025,173,4.6940555070490255
7310172001,4.7514450867052025,173,4.6940555070490255
B0002DGRZC,4.7514450867052025,173,4.6940555070490255
B0002DGRSY,4.7514450867052025,173,4.6940555070490255
B0002DGRRA,4.7514450867052025,173,4.6940555070490255
B0002DGRQ6,4.7514450867052025,173,4.6940555070490255
B0002DGRPC,4.7514450867052025,173,4.6940555070490255
